id,mutators,#crashes,action,Program elements,,#crashes,#mutators,actions,IssueMut,,,program elements,IssueMut
1,add.assoc.barrier,3,Add,"Builtin Function, Expr.",,9,1,Add,11,,,Variable Declaration,3
2,SwapFunctionArgs,4,Swap,Expr.,,6,1,Duplicate,0,,,Function Declaration,4
3,replace.with.nullptr,1,Modify,Literal,,4,1,Modify,14,,,Parameter,4
4,convert.goto.asmgoto,1,Modify,Stmt.,,3,5,Swap,1,,,Expression,5
5,ChangeAsmConstraint,1,Modify,"Stmt., Variable Decl.",,2,6,Toggle,0,,,Builtin Function,2
6,modify.array.init,1,Add,Stmt.,,1,19,Remove,7,,,Initialization,2
7,transform.ForToWhile,1,Modify,Stmt.,,,,,,,,Statement,4
8,RenameFunction,2,Modify,Function Decl.,,,,,,,,Attribute,4
9,AddExternDeclarations.rand,1,Add,Function Decl.,,,,,,,,Type,5
10,extern.to.static.sed,2,Modify,Storage Class Specifier,,,,,,,,Storage Class Specifier,1
11,remove.intermediate,1,Modify,Variable Decl.,,,,,,,,Literal,3
12,AddNoReturnAttributeToFunction,1,Add,"Attribute, Function Decl.",,,,,,,,Character,1
13,RemoveAttributes,1,Remove,Attribute,,,,,,,,Unary Operator,2
14,remove.redundant.casts,2,Remove,Unary Operator,,,,,,,,Binary Operator,0
15,CStyleCastToVar,1,Modify,Expr.,,,,,,,,Function Definition,0
16,ChangeFunctionParameter,1,Modify,"Parameter, Type",,,,,,,,Field Declaration,0
17,ChangeFunctionParamType,3,Modify,"Parameter, Type",,,,,,,,Qualifier,0
18,add.typedef.of.struct,2,Add,Type,,,,,,,,,
19,ReplaceVarWithFuncCall,3,Modify,Expr.,,,,,,,,,
20,add.parameters,2,Add,Parameter,,,,,,,,,
21,add.assume.aligned,1,Add,"Builtin Function, Expr.",,,,,,,,,
22,remove.initializer.115397,1,Remove,Initialization,,,,,,,,,
23,RemoveVariableInitialization,2,Remove,Initialization,,,,,,,,,
24,AddUnionFieldMut,1,Add,Type,,,,,,,,,
25,add.no.to.target.attribute,1,Add,Attribute,,,,,,,,,
26,remove.length.of.array,3,Remove,Variable Decl.,,,,,,,,,
27,replace.integer.literal.with.6wb,6,Modify,Literal,,,,,,,,,
28,replace.0.with.0b0,3,Modify,Literal,,,,,,,,,
29,add.avx.target.clones.attribute,9,Add,"Attribute, Function Decl.",,,,,,,,,
30,change.sizet.to.longlong,1,Modify,Type,,,,,,,,,
31,remove.typeof,1,Remove,Unary Operator,,,,,,,,,
32,add.backslash,1,Add,Character,,,,,,,,,
33,remove.void.parameter,1,Remove,Parameter,,,,,,,,,
