mutators,#crashes,action,Program elements,,#crashes,#mutators,actions,MetaMut,,program elements,MetaMut
s.duplicate-with-binop,6,Duplicate,"Expr., Binary Operator",,6,3,Add,3,,Variable Decl.,8
u1.DecayRandomPointerToArray,6,Modify,Variable Decl.,,5,5,Duplicate,4,,Function Decl.,3
u1.ReplaceLiteralWithRandomValue,6,Modify,Literal,,4,6,Modify,29,,Parameter,2
s.copy-expr,5,Add,"Expr., Literal",,3,6,Swap,6,,Expr.,12
s.swap-expr,5,Swap,Expr.,,2,8,Toggle,2,,Builtin Function,0
s.randomize-string-literal,5,Modify,String Literal,,1,18,Remove,2,,Initialization,2
s.duplicate-with-unop,5,Duplicate,"Expr., Unary Operator",,,,,,,Stmt.,3
u1.ModifyRandomLiteralInExpr,5,Modify,Literal,,,,,,,Attribute,1
s.change-declref,4,Modify,Expr,,,,,,,Type,6
s.combine-variable,4,Modify,Variable Decl.,,,,,,,Storage Class Specifier,0
s.change-vardecl-qualifier,4,Modify,"Variable Decl., Qualifier",,,,,,,Literal,8
u1.NegateLiteral,4,Modify,Literal,,,,,,,Character,0
s.remove-stmt,4,Remove,Stmt.,,,,,,,Unary Operator,5
s.change-integer-literal,4,Modify,Literal,,,,,,,Binary Operator,2
s.increase-pointer-level,3,Modify,Variable Decl.,,,,,,,Function Def.,2
s.copy-propagation,3,Modify,Expr.,,,,,,,Field Decl.,2
s.random-copy-propagation,3,Modify,Expr.,,,,,,,Qualifier,1
s.change-parmtype,3,Modify,"Parameter, Type",,,,,,,,
s.mutate-binop,3,Modify,Binary Operator,,,,,,,,
u1.SwapRandomBinaryOperands,3,Swap,Expr.,,,,,,,,
s.remove-unop,2,Remove,Unary Operator,,,,,,,,
s.change-decltype,2,Modify,"Type, Variable Decl.",,,,,,,,
u1.ModifyRandomEnum,2,Modify,Type,,,,,,,,
s.add-initialization,2,Add,Initialization,,,,,,,,
s.switch-to-if,2,Modify,Stmt.,,,,,,,,
s.swap-child-expr,2,Swap,Expr.,,,,,,,,
u1.RandomizeFunctionOrder,2,Swap,Function Def.,,,,,,,,
s.struct-to-int,2,Modify,"Type, Variable Decl.",,,,,,,,
u1.ReplaceLiteralWithConstant,1,Modify,Literal,,,,,,,,
u1.ModifyPointerTarget,1,Modify,Initialization,,,,,,,,
u1.ReplaceRandomTypeWithTypedef,1,Modify,Type,,,,,,,,
s.decay-small-struct,1,Modify,Type,,,,,,,,
s.duplicate-fields,1,Duplicate,Field Decl.,,,,,,,,
s.mutate-unop,1,Modify,Unary Operator,,,,,,,,
u1.SwapFuncDeclParams,1,Swap,"Function Decl., Parameter",,,,,,,,
u1.DecayRandomFunctionToPointer,1,Modify,"Function Decl., Expr.",,,,,,,,
s.toggle-bitfield,1,Toggle,Field Decl.,,,,,,,,
u1.InterchangeFuncCalls,1,Swap,Expr.,,,,,,,,
s.add-suffix-unaryop,1,Add,Unary Operator,,,,,,,,
s.simple-uninliner,1,Modify,"Stmt., Function Def.",,,,,,,,
u1.DuplicateRandomUnaryOperator,1,Duplicate,Unary Operator,,,,,,,,
s.simple-inliner,1,Modify,Expr.,,,,,,,,
u1.InlineRandomVarDecl,1,Modify,Variable Decl.,,,,,,,,
s.increase-array-dimension,1,Modify,Variable Decl.,,,,,,,,
s.inverse-inline,1,Toggle,"Attribute, Function Decl.",,,,,,,,
u1.ReplaceIntWithEquivalentBitwiseExpr,1,Modify,Literal,,,,,,,,
